id,device_id,ts,activity,pp1,pp2,pp3,,action,power,power2,running
72460,3433,2024-05-16T16:17:34,idle,,,,,"p2_program_started",,0,false
72462,3433,2024-05-16T16:17:50,idle,,,,,,,0,false
72464,3433,2024-05-16T16:18:06,idle,,,,,,,0,false
72466,3433,2024-05-16T16:18:22,idle,,,,,,,0,false
72469,3433,2024-05-16T16:18:38,idle,,,,,,,0,false
72471,3433,2024-05-16T16:18:54,idle,,,,,,,0,false
72473,3433,2024-05-16T16:19:10,idle,,,,,,,0,false
72475,3433,2024-05-16T16:19:26,idle,,,,,,,0,false
72477,3433,2024-05-16T16:19:42,idle,,,,,,,0,false
72479,3433,2024-05-16T16:19:58,idle,,,,,,,0,false
72481,3433,2024-05-16T16:20:14,idle,,,,,,,0,false
78666,3433,2024-05-17T19:39:30,idle,,,,,"p2_program_started",,42,false
78668,3433,2024-05-17T19:39:45,idle,,,,,,,42,false
78670,3433,2024-05-17T19:40:00,idle,,,,,,,43,false
78672,3433,2024-05-17T19:40:15,idle,,,,,,,181,false
78674,3433,2024-05-17T19:40:31,idle,,,,,,,38,
78676,3433,2024-05-17T19:40:46,idle,,,,,,,44,
78678,3433,2024-05-17T19:41:01,idle,,,,,,,41,
78680,3433,2024-05-17T19:41:16,idle,,,,,,,40,
78682,3433,2024-05-17T19:41:32,idle,,,,,,,42,
78684,3433,2024-05-17T19:41:47,idle,,,,,,,191,
78686,3433,2024-05-17T19:42:02,idle,,,,,,,70,
78688,3433,2024-05-17T19:42:18,idle,,,,,,,95,
78690,3433,2024-05-17T19:42:33,idle,,,,,,,97,
78692,3433,2024-05-17T19:42:48,idle,,,,,,,109,
78694,3433,2024-05-17T19:43:03,idle,,,,,,,108,
78696,3433,2024-05-17T19:43:19,running,,,,,"p2_start_running",,177,true
78698,3433,2024-05-17T19:43:34,running,,,,,,,172,true
78700,3433,2024-05-17T19:43:49,running,,,,,,,117,true
78702,3433,2024-05-17T19:44:04,running,,,,,,,167,true
78704,3433,2024-05-17T19:44:20,running,,,,,,,169,true
78706,3433,2024-05-17T19:44:35,running,,,,,,,178,true
78708,3433,2024-05-17T19:44:50,running,,,,,,,181,true
78710,3433,2024-05-17T19:45:06,running,,,,,,,179,true
78712,3433,2024-05-17T19:45:21,running,,,,,,,119,true
78714,3433,2024-05-17T19:45:36,running,,,,,,,114,true
78716,3433,2024-05-17T19:45:51,running,,,,,,,107,true
78718,3433,2024-05-17T19:46:07,running,,,,,,,172,true
78720,3433,2024-05-17T19:46:22,running,,,,,,,170,true
78722,3433,2024-05-17T19:46:37,running,,,,,,,182,true
78724,3433,2024-05-17T19:46:52,running,,,,,,,175,true
78726,3433,2024-05-17T19:47:08,running,,,,,,,183,true
78728,3433,2024-05-17T19:47:23,running,,,,,,,179,true
78730,3433,2024-05-17T19:47:38,running,,,,,,,180,true
78732,3433,2024-05-17T19:47:54,running,,,,,,,183,true
78734,3433,2024-05-17T19:48:09,running,,,,,,,238,true
78736,3433,2024-05-17T19:48:24,running,,,,,,,119,true
78738,3433,2024-05-17T19:48:39,running,,,,,,,237,true
78740,3433,2024-05-17T19:48:55,running,,,,,,,111,true
78742,3433,2024-05-17T19:49:10,running,,,,,,,195,true
78744,3433,2024-05-17T19:49:25,running,,,,,,,167,true
78746,3433,2024-05-17T19:49:41,running,,,,,,,173,true
78748,3433,2024-05-17T19:49:56,running,,,,,,,166,true
78750,3433,2024-05-17T19:50:11,running,,,,,,,162,true
78752,3433,2024-05-17T19:50:26,running,,,,,,,166,true
78754,3433,2024-05-17T19:50:42,running,,,,,,,178,true
78756,3433,2024-05-17T19:50:57,running,,,,,,,176,true
78758,3433,2024-05-17T19:51:12,running,,,,,,,173,true
78760,3433,2024-05-17T19:51:28,running,,,,,,,117,true
78762,3433,2024-05-17T19:51:43,running,,,,,,,117,true
78764,3433,2024-05-17T19:51:58,running,,,,,,,106,true
78766,3433,2024-05-17T19:52:13,running,,,,,,,168,true
78768,3433,2024-05-17T19:52:29,running,,,,,,,173,true
78770,3433,2024-05-17T19:52:44,running,,,,,,,185,true
78772,3433,2024-05-17T19:52:59,running,,,,,,,170,true
78774,3433,2024-05-17T19:53:14,running,,,,,,,179,true
78776,3433,2024-05-17T19:53:30,running,,,,,,,169,true
78778,3433,2024-05-17T19:53:45,running,,,,,,,173,true
78780,3433,2024-05-17T19:54:00,running,,,,,,,257,true
78782,3433,2024-05-17T19:54:16,running,,,,,,,289,true
